variety,image_url,breeder,length,sex,age,price
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2023cm%202.png,Omosako,23cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2023cm.png,Omosako,23cm,Unknown,Tosai (1y),Unknown
Yellow Monkey,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Dainichi%20Ginrin%20Chagoi%2023cm%20Tosai.png,Dainichi,23cm,Unknown,Tosai (1y),Unknown
Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/ISA%20Showa%2024cm%20Tosai.png,Isa,24cm,Unknown,Tosai (1y),Unknown
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2024cm%203.png,Omosako,24cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2024cm%204.png,Omosako,24cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2024cm.png,Omosako,24cm,Unknown,Tosai (1y),$50 
Kujaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Kujaku_24cm_Tosai.png,Dainichi,24cm,Unknown,Tosai (1y),Unknown
Ginrin Kohaku,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Torazo%20Ginrin%20Kohaku%20Tosai%2025cm.png,Torazo,25cm,Unknown,Tosai (1y),Unknown
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2025cm%202.png,Omosako,25cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2025cm.png,Omosako,25cm,Unknown,Tosai (1y),$50 
Yellow Monkey,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Dainichi%20Gin%20Rin%20Chagoi%2025cm%20Tosai.png,Dainichi,25cm,Unknown,Tosai (1y),Unknown
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2026cm%202.png,Omosako,26cm,Unknown,Tosai (1y),$50 
Sanke,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Izumiya%20Showa%2026cm%20Nisai.png,Izumiya,26cm,Unknown,Nisai (2y),Unknown
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2026cm.png,Omosako,26cm,Unknown,Tosai (1y),$50 
Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Shiro%20Utsuri%2028cm.png,Omosako,28cm,Unknown,Tosai (1y),$50 
Doitsu Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Omosako%20Tosai%20Doitsu%20Shiro%20Utsuri%2028cm.png,Omosako,28cm,Unknown,Tosai (1y),Unknown
Yellow Monkey,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Dainichi%20Gin%20Rin%20Chagoi%2028cm%20Tosai.png,Dainichi,28cm,Unknown,Tosai (1y),Unknown
Sanke,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Izumiya%20Sanke%2029cm%20Nisai.png,Izumiya,29cm,Unknown,Nisai (2y),Unknown
Yellow Monkey,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Dainichi%20Gin%20Rin%20Chagoi%2029cm%20Tosai.png,Dainichi,29cm,Unknown,Tosai (1y),Unknown
Doitsu Sanke,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Shinoda%20Doitsu%20Sanke%2030cm%20Tosai.png,Shinoda,30cm,Unknown,Tosai (1y),Unknown
Yellow Monkey,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Dainichi%20Gin%20Rin%20Chagoi%2032cm%20Tosai.png,Dainichi,32cm,Unknown,Tosai (1y),Unknown
Yellow Monkey,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Dainichi%20Gin%20Rin%20Chagoi%2033cm%20tosai.png,Dainichi,33cm,Unknown,Tosai (1y),Unknown
Yellow Monkey,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/4/photos/Dainichi%20Gin%20Rin%20Chagoi%20Tosai%2033cm.png,Dainichi,33cm,Unknown,Tosai (1y),Unknown
Ginrin Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/5/photos2/8-37%20Gin%20Rin%20Showa.png,Marushin,37cm,Unknown,Nisai (2y),$210 
Ginrin Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/5/photos2/9-46%20Gin%20Rin%20Showa.png,Marushin,46cm,Unknown,Nisai (2y),Unknown
Doitsu Tancho Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/5/photos2/13-41%20Doitsu%20Tancho%20Showa.png,Marushin,41cm,Unknown,Nisai (2y),Unknown
Ginrin Showa,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/5/photos2/10-40%20Gin%20Rin%20Showa.png,Marushin,40cm,Unknown,Nisai (2y),Unknown
Doitsu Shiro Utsuri,https://mjjlqhnswgbzvxfujauo.supabase.co/storage/v1/object/public/auctions/5/photos2/12-41%20Doitsu%20Shiro%20Utsuri.png,Marushin,41cm,Unknown,Nisai (2y),$210 
